     T       EC
 -6.00        5
 -5.90        6
 -5.80        7
 -5.70        8
 -5.60        9
 -5.50       10
 -5.40       11
 -5.30       15
 -5.20       16
 -5.10       22
 -5.00       24
 -4.90       24
 -4.80       28
 -4.70       31
 -4.60       36
 -4.50       41
 -4.40       42
 -4.30       49
 -4.20       51
 -4.10       54
 -4.00       57
 -3.90       67
 -3.80       71
 -3.70       73
 -3.60       70
 -3.50       71
 -3.40       73
 -3.30       74
 -3.20       78
 -3.10       75
 -3.00       72
 -2.90       63
 -2.80       60
 -2.70       59
 -2.60       67
 -2.50       64
 -2.40       60
 -2.30       64
 -2.20       55
 -2.10       52
 -2.00       38
 -1.90       28
 -1.80       24
 -1.70       31
 -1.60       16
 -1.50        4
 -1.40        4
 -1.30      -10
 -1.20      -19
 -1.10      -11
 -1.00      -21
 -0.90      -31
 -0.80      -38
 -0.70      -54
 -0.60      -70
 -0.50     -108
 -0.40     -111
 -0.30     -137
 -0.20     -158
 -0.10     -161
  0.00     -160
  0.10      -83
  0.20      -61
  0.30      -65
  0.40      -41
  0.50      -23
  0.60      -16
  0.70       19
  0.80       30
  0.90       32
  1.00       75
  1.10       93
  1.20       97
  1.30      107
  1.40      120
  1.50      132
  1.60      139
  1.70      129
  1.80      122
  1.90      127
  2.00      114
  2.10      121
  2.20      119
  2.30      127
  2.40      144
  2.50      132
  2.60      123
  2.70      119
  2.80      101
  2.90       99
  3.00       90
  3.10       78
  3.20       82
  3.30       77
  3.40       80
  3.50       85
  3.60       92
  3.70       86
  3.80       81
  3.90       79
  4.00       79
  4.10       66
  4.20       58
  4.30       57
  4.40       48
  4.50       42
  4.60       35
  4.70       35
  4.80       30
  4.90       31
  5.00       27
  5.10       20
  5.20       19
  5.30       17
  5.40       15
  5.50       13
  5.60       13
  5.70       10
  5.80        9
  5.90       10
  6.00        9
