Cluster Index	Z	x	y	z	
10	4.2	31	39	17
10	4.02	23	37	18
10	3.67	25	34	18
10	3.61	28	34	13
10	3.33	26	33	13
10	3.29	28	35	16
9	3.65	20	40	19
9	3.56	20	39	25
9	3.52	19	42	21
9	3.22	19	42	19
9	3.15	17	37	24
9	3.08	20	45	17
8	4.48	45	15	6
8	3.51	42	17	6
8	3.49	42	17	8
8	2.73	45	18	8
7	4.25	18	49	13
7	3.74	19	52	12
7	2.88	20	48	15
7	2.81	19	52	9
6	3.52	44	17	23
6	3.41	42	20	22
6	3.07	43	19	24
6	3.06	40	19	23
6	3	41	17	24
6	2.59	43	15	23
5	3.96	33	37	15
5	3.81	34	35	14
5	3.47	38	39	15
5	2.81	36	37	16
5	2.72	33	34	17
5	2.42	34	32	16
4	4.83	31	46	6
4	4.18	30	48	5
4	2.86	29	43	7
4	2.49	26	45	6
3	3.6	21	19	23
3	3.21	20	21	21
3	2.74	20	23	19
3	2.62	21	25	21
2	4.24	24	54	10
1	3.45	25	54	15
1	2.92	24	55	13
1	2.59	25	51	15
