Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
13	1128	0	52.2	5.32	31	47	21	27.7	44.8	17	356	33	46	22	83.5
12	682	2.54e-37	36.6	5.06	18	24	12	29.7	14.1	10.1	175	20	12	11	63
11	171	1.05e-13	13	5.32	20	16	23	22.4	15.9	24.4	188	24	15	27	82.4
10	124	1.07e-10	9.97	4.82	34	23	23	33.7	23.8	21.3	124	34	23	23	63.9
9	104	2.63e-09	8.58	4.55	45	13	25	46.4	15	24.7	226	45	14	26	87.5
8	76	3.58e-07	6.45	4.84	31	28	9	29.1	27.5	10.8	87.5	28	25	12	54.7
7	73	5.96e-07	6.22	4.3	33	21	7	34.1	19.5	4.06	116	33	21	7	57.5
6	52	3.64e-05	4.44	4.55	43	49	13	43.5	48.6	11.3	156	44	50	10	74.6
5	52	3.64e-05	4.44	4.26	23	12	3	22.5	13.3	4.18	146	22	16	3	60.7
4	47	0.000105	3.98	4.46	44	43	15	46	43.5	15.3	112	44	43	15	66.8
3	32	0.00324	2.49	4.19	41	41	8	42	40.3	9.48	103	46	39	10	62.8
2	31	0.00414	2.38	4.2	38	49	10	38.8	47.6	8.74	106	39	49	10	62.4
1	30	0.0053	2.28	4.08	50	20	11	49.3	19.2	10.1	99.1	50	15	8	57.7
