Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
16	1436	8.79e-17	16.1	4.21	4	12	12	5.01	1.24	6.09	179	4	2	10	52.4
15	1288	1.8e-15	14.7	4.68	72	-38	30	59.7	-47.2	35.9	148	52	-60	46	55.4
14	1154	3.05e-14	13.5	4.13	46	8	56	44.5	14.8	47.3	123	36	8	64	60.4
13	1146	3.63e-14	13.4	3.99	-12	-48	-44	9.5	-56.3	-44.7	90.2	26	-42	-56	40.1
12	797	1.06e-10	9.97	4.26	-50	-58	32	-47.4	-57	40.8	124	-36	-72	46	54.9
11	739	4.44e-10	9.35	4.08	42	58	4	39.7	53.2	3.61	129	48	50	-6	69.8
10	698	1.25e-09	8.9	3.79	-38	58	4	-40.4	52.9	3	116	-46	54	-2	57.1
9	626	8.08e-09	8.09	3.69	-40	-62	-50	-42.5	-63.1	-45.5	55.3	-34	-64	-42	36
8	551	5.96e-08	7.22	3.54	-54	0	54	-48.4	5.17	51.2	88	-60	8	38	48.3
7	493	2.98e-07	6.53	3.81	70	-14	-22	65.8	-17.1	-16.2	82.4	66	-24	-6	45.2
6	380	9.06e-06	5.04	3.6	2	14	56	2.96	24.2	48.3	87.9	2	34	46	50.9
5	260	0.000482	3.32	3.52	14	-44	-14	9.92	-41.3	-5.95	114	12	-34	-8	62.6
4	214	0.00258	2.59	3.83	-68	-14	-12	-65.6	-24.4	-17.9	55.8	-66	-32	-22	34.2
3	182	0.00891	2.05	3.79	6	-12	34	0.502	-18.2	31	74.9	0	-6	34	46.3
2	160	0.0217	1.66	3.41	-6	-78	-36	2.64	-78.5	-31.2	51.4	-2	-82	-28	35.3
1	155	0.0267	1.57	3.4	26	60	22	24.6	58.5	24.2	62.4	26	64	22	47.7
