Cluster Index	Z	x	y	z	
4	4.68	16.7	-12	19.2
4	4.22	26.9	-18.6	13.3
4	3.88	18	8	23.6
4	3.66	21.2	5.41	-4.31
4	3.62	10.3	2.02	-0.547
4	3.53	6.78	0.81	8.29
3	4	-10.5	-44	-28.8
3	3.74	-13.6	-37.8	-23
3	3.67	-14.8	-57.1	-31.7
3	3.61	-25.7	-60.5	-27.9
3	3.38	-0.954	-62	-28.1
3	3.27	-9.43	-29.5	-12
2	3.95	22	-36	-26.9
2	3.5	11.1	-41.5	-9.96
2	3.38	15	-35.1	-8.55
2	3.33	14.2	-47.7	-15.8
2	3.32	11.1	-39.4	-23.2
2	3.14	1.34	-28.2	-2.58
1	3.29	-43.2	-55.1	-54.2
1	3.03	-51	-66.1	-47.5
1	2.9	-50	-50.6	-57.8
