Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
15	950	2.86e-39	38.5	5.57	-46.8	-63.3	44.9	-17.4	-68.9	26	332	-36.7	-71.4	47.6	87
14	903	6.64e-38	37.2	5.15	26.7	30.4	57.5	27.5	31.8	26.4	243	5.78	34.3	62.9	93.4
13	278	2.65e-16	15.6	5.76	72.6	-24.4	35.9	57.6	-48.6	35.2	292	52.7	-59.6	46	101
12	270	5.92e-16	15.2	4.51	-59.8	11.5	39.2	-44.6	10	50.1	228	-52.3	16.2	49.4	86.1
11	243	9.48e-15	14	5.13	-39.4	57.2	8.62	-39.3	49.6	1.23	208	-46.8	52.5	-1.6	84.9
10	226	5.73e-14	13.2	4.86	65.8	-11.4	-16	61.6	-14.1	-18.3	130	65.8	-13	-7.19	64.3
9	141	1.03e-09	8.99	4.31	-53	17.5	-37.1	-31.8	17.8	-25.4	259	-10.9	11.4	-38.3	81.5
8	114	5.96e-08	7.22	4.55	1.32	-29.1	30	0.416	-23.3	31.5	237	1.32	-29.1	30	89.1
7	89	1.13e-06	5.95	5.53	-62.6	-23.3	-19	-65	-22.3	-13.6	140	-69.2	-19.2	0.141	63.5
6	85	2.03e-06	5.69	4.21	-11.4	-50.2	-43.3	-0.536	-45.8	-41.9	107	-11.4	-50.2	-43.3	60.6
5	52	0.000403	3.39	3.87	3.83	12	12.1	4.33	9.15	12.1	192	3.37	4.63	14.9	95.3
4	52	0.000403	3.39	3.76	5.16	-17.6	-17.5	0.394	-13.2	-18.7	167	-12.2	-10	-34.1	69.1
3	50	0.000573	3.24	3.66	37.8	-57.4	-40.3	32.5	-63.8	-38.8	75.7	26.7	-64.1	-37.3	53.4
2	34	0.0116	1.94	3.55	-34.5	-83.8	-0.893	-39.8	-83.7	0.875	162	-34.5	-83.8	-0.893	67.2
1	33	0.0142	1.85	3.78	-33.7	-66.2	-42.5	-33.8	-62.6	-42.8	91.3	-33.7	-66.2	-42.5	54.9
