     T       EC
 -6.00        1
 -5.90        1
 -5.80        1
 -5.70        1
 -5.60        2
 -5.50        2
 -5.40        3
 -5.30        3
 -5.20        3
 -5.10        3
 -5.00        3
 -4.90        4
 -4.80        5
 -4.70        4
 -4.60        4
 -4.50        4
 -4.40        6
 -4.30        8
 -4.20        7
 -4.10        7
 -4.00        9
 -3.90       11
 -3.80       14
 -3.70       17
 -3.60       21
 -3.50       20
 -3.40       20
 -3.30       29
 -3.20       35
 -3.10       39
 -3.00       45
 -2.90       53
 -2.80       57
 -2.70       62
 -2.60       72
 -2.50       76
 -2.40       75
 -2.30       88
 -2.20      103
 -2.10      104
 -2.00      104
 -1.90      100
 -1.80      102
 -1.70      113
 -1.60      103
 -1.50       95
 -1.40      102
 -1.30       95
 -1.20      103
 -1.10       77
 -1.00       62
 -0.90       43
 -0.80       18
 -0.70       -1
 -0.60      -44
 -0.50      -43
 -0.40     -107
 -0.30     -164
 -0.20     -242
 -0.10     -277
  0.00     -291
  0.10     -128
  0.20     -102
  0.30      -57
  0.40      -79
  0.50      -82
  0.60      -45
  0.70       -6
  0.80        0
  0.90      -13
  1.00       27
  1.10       55
  1.20       83
  1.30      103
  1.40      130
  1.50      169
  1.60      197
  1.70      185
  1.80      192
  1.90      206
  2.00      186
  2.10      146
  2.20      149
  2.30      143
  2.40      122
  2.50      103
  2.60       83
  2.70       83
  2.80       70
  2.90       80
  3.00       70
  3.10       61
  3.20       65
  3.30       59
  3.40       56
  3.50       54
  3.60       48
  3.70       40
  3.80       28
  3.90       21
  4.00       21
  4.10       20
  4.20       18
  4.30       15
  4.40       13
  4.50        9
  4.60        7
  4.70        4
  4.80        3
  4.90        5
  5.00        6
  5.10        4
  5.20        4
  5.30        4
  5.40        4
  5.50        3
  5.60        2
  5.70        1
  5.80        1
  5.90        1
  6.00        1
