     T       EC
 -6.00        3
 -5.90        4
 -5.80        4
 -5.70        4
 -5.60        6
 -5.50        7
 -5.40        8
 -5.30        9
 -5.20        9
 -5.10       10
 -5.00       12
 -4.90       15
 -4.80       18
 -4.70       19
 -4.60       18
 -4.50       21
 -4.40       25
 -4.30       31
 -4.20       33
 -4.10       37
 -4.00       45
 -3.90       58
 -3.80       64
 -3.70       69
 -3.60       75
 -3.50       84
 -3.40       91
 -3.30       96
 -3.20      102
 -3.10      112
 -3.00      131
 -2.90      119
 -2.80      118
 -2.70      131
 -2.60      129
 -2.50      129
 -2.40      147
 -2.30      151
 -2.20      153
 -2.10      151
 -2.00      139
 -1.90      131
 -1.80      133
 -1.70      132
 -1.60      106
 -1.50       65
 -1.40       29
 -1.30       20
 -1.20        6
 -1.10      -19
 -1.00      -34
 -0.90      -59
 -0.80      -72
 -0.70      -89
 -0.60     -115
 -0.50     -131
 -0.40     -153
 -0.30     -187
 -0.20     -211
 -0.10     -222
  0.00     -245
  0.10     -228
  0.20     -201
  0.30     -190
  0.40     -189
  0.50     -123
  0.60     -115
  0.70      -93
  0.80      -46
  0.90      -35
  1.00       32
  1.10       49
  1.20       98
  1.30       88
  1.40      107
  1.50       96
  1.60      130
  1.70      137
  1.80      159
  1.90      174
  2.00      198
  2.10      181
  2.20      190
  2.30      191
  2.40      184
  2.50      173
  2.60      151
  2.70      162
  2.80      165
  2.90      152
  3.00      146
  3.10      136
  3.20      141
  3.30      143
  3.40      128
  3.50      130
  3.60      128
  3.70      120
  3.80      112
  3.90      104
  4.00      105
  4.10       95
  4.20       98
  4.30       92
  4.40       84
  4.50       93
  4.60       88
  4.70       80
  4.80       68
  4.90       61
  5.00       54
  5.10       44
  5.20       47
  5.30       45
  5.40       31
  5.50       29
  5.60       29
  5.70       28
  5.80       25
  5.90       23
  6.00       21
