Cluster Index	Z	x	y	z	
6	4.34	-2	-58	38
6	3.9	2	-58	64
6	3.61	0	-64	26
6	3.56	2	-54	58
6	3.56	2	-50	54
6	3.26	8	-42	52
5	4.73	50	8	-42
5	3.78	30	-8	-40
5	3.65	42	18	-36
5	3.55	46	22	-34
5	3.53	38	20	-28
5	3.48	48	28	-8
4	4.47	66	4	-12
4	3.97	60	-10	-18
4	3.97	66	-2	-20
4	3.83	56	-12	-22
4	3.59	56	-16	-8
4	3.48	44	4	-12
3	4.24	4	50	24
3	3.49	4	64	32
3	3.39	-6	42	34
3	2.92	16	70	28
2	4.2	-34	14	-26
2	3.86	-36	18	-22
2	3.73	-28	20	-14
2	3.53	-36	24	-40
2	3.52	-42	4	-16
2	3.32	-42	24	-8
1	4.61	28	42	54
1	3.52	26	32	48
1	3.48	2	20	72
1	3.18	4	18	76
1	3.12	2	22	58
1	3.11	16	20	50
