Cluster Index	Z	x	y	z	
5	5.05	4	62	20
5	4.64	-4	68	8
5	4.44	-2	56	4
5	4.39	-8	56	8
5	4.25	0	58	-12
5	4.19	0	44	-4
4	3.99	-40	22	-36
4	3.77	-32	10	-30
4	3.69	-28	4	-22
4	3.68	-34	4	14
4	3.58	-50	14	-38
4	3.56	-46	-8	6
3	4.46	60	-14	-10
3	3.97	52	12	-28
3	3.96	40	6	-2
3	3.94	48	0	-40
3	3.94	42	2	-6
3	3.89	56	2	-32
2	4.91	-10	-56	28
2	4.69	6	-54	36
2	4.57	10	-54	30
2	4.26	0	-66	34
2	3.85	0	-48	46
2	3.33	-10	-44	12
1	4	60	-52	26
1	3.89	62	-36	16
1	3.43	42	-64	24
1	3.12	48	-64	0
1	3.01	58	-34	26
1	2.94	50	-56	20
